,항공사,편명,출발지,도착지,요일,출발시간,도착시간,운행기간,?,시간,날짜
0,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-21
1,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-22
2,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-15
3,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-23
4,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-16
5,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-24
6,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-17
7,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-25
8,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-18
9,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-26
10,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-19
11,아시아나항공,OZ8900,제주,서울/김포,월 화 수 목 금 토 일,06:30,07:40,2019-03-31 ~ 2019-10-26,06:30,06시,2019-10-20
12,아시아나항공,OZ8902,제주,서울/김포,월 화 수 목 금 토 일,06:40,07:50,2019-03-31 ~ 2019-10-26,06:40,06시,2019-10-21
13,아시아나항공,OZ8902,제주,서울/김포,월 화 수 목 금 토 일,06:40,07:50,2019-03-31 ~ 2019-10-26,06:40,06시,2019-10-22
14,아시아나항공,OZ8902,제주,서울/김포,월 화 수 목 금 토 일,06:40,07:50,2019-03-31 ~ 2019-10-26,06:40,06시,2019-10-15
15,아시아나항공,OZ8902,제주,서울/김포,월 화 수 목 금 토 일,06:40,07:50,2019-03-31 ~ 2019-10-26,06:40,06시,2019-10-23
16,아시아나항공,OZ8902,제주,서울/김포,월 화 수 목 금 토 일,06:40,07:50,2019-03-31 ~ 2019-10-26,06:40,06시,2019-10-16
17,아시아나항공,OZ8902,제주,서울/김포,월 화 수 목 금 토 일,06:40,07:50,2019-03-31 ~ 2019-10-26,06:40,06시,2019-10-24
18,아시아나항공,OZ8902,제주,서울/김포,월 화 수 목 금 토 일,06:40,07:50,2019-03-31 ~ 2019-10-26,06:40,06시,2019-10-17
19,아시아나항공,OZ8902,제주,서울/김포,월 화 수 목 금 토 일,06:40,07:50,2019-03-31 ~ 2019-10-26,06:40,06시,2019-10-25
